,dong,fuel,num
0,노원구 상계8동 ,electric,48
0,노원구 상계9동 ,electric,44
0,노원구 상계10동 ,electric,40
0,은평구 녹번동 ,electric,157
0,은평구 불광1동 ,electric,94
0,은평구 불광2동 ,electric,46
0,은평구 갈현1동 ,electric,31
0,은평구 갈현2동 ,electric,45
0,은평구 구산동 ,electric,87
0,은평구 대조동 ,electric,42
0,은평구 응암1동 ,electric,103
0,은평구 응암2동 ,electric,120
0,은평구 응암3동 ,electric,61
0,은평구 역촌동 ,electric,99
0,은평구 신사1동 ,electric,115
0,은평구 신사2동 ,electric,104
0,은평구 증산동 ,electric,74
0,은평구 수색동 ,electric,56
0,은평구 진관동 ,electric,299
0,서대문구 천연동 ,electric,45
0,서대문구 북아현동 ,electric,65
0,서대문구 충현동 ,electric,161
0,서대문구 신촌동 ,electric,51
0,서대문구 연희동 ,electric,163
0,서대문구 홍제1동 ,electric,77
0,서대문구 홍제3동 ,electric,44
0,서대문구 홍제2동 ,electric,33
0,서대문구 홍은1동 ,electric,73
0,서대문구 홍은2동 ,electric,94
0,서대문구 남가좌1동 ,electric,82
0,서대문구 남가좌2동 ,electric,92
0,서대문구 북가좌1동 ,electric,129
0,서대문구 북가좌2동 ,electric,112
0,마포구 아현동 ,electric,132
0,마포구 공덕동 ,electric,162
0,마포구 도화동 ,electric,73
0,마포구 용강동 ,electric,149
0,마포구 대흥동 ,electric,43
0,마포구 염리동 ,electric,163
0,마포구 신수동 ,electric,96
0,마포구 서강동 ,electric,96
0,마포구 서교동 ,electric,119
0,마포구 합정동 ,electric,83
0,마포구 망원1동 ,electric,126
0,마포구 망원2동 ,electric,50
0,마포구 연남동 ,electric,55
0,마포구 성산1동 ,electric,85
0,마포구 성산2동 ,electric,142
0,마포구 상암동 ,electric,202
0,양천구 목1동 ,electric,178
0,양천구 목2동 ,electric,70
0,양천구 목3동 ,electric,53
0,양천구 목4동 ,electric,68
0,양천구 목5동 ,electric,158
0,양천구 신월1동 ,electric,93
