,dong,Latitude,Longitude,fuel,num
0,용산구 서빙고동,37.5233986,126.9905244,electric,51
0,용산구 보광동,37.5268698,127.0009168,electric,30
0,성동구 왕십리2동,37.5616887,127.0279152,electric,50
0,성동구 왕십리도선동,37.5666113,127.0299063,electric,112
0,성동구 마장동,37.5669747,127.040228,electric,220
0,성동구 사근동,37.5595968,127.0449623,electric,39
0,성동구 행당1동,37.5598639,127.0354473,electric,101
0,성동구 행당2동,37.5570351,127.0300265,electric,64
0,성동구 응봉동,37.5515276,127.0330901,electric,37
0,성동구 금호1가동,37.5536559,127.0242774,electric,76
0,성동구 금호2.3가동,37.5510106,127.0197905,electric,79
0,성동구 금호4가동,37.5468082,127.0214527,electric,81
0,성동구 옥수동,37.5438285,127.013956,electric,172
0,성동구 성수1가1동,37.5420391,127.0496855,electric,558
0,성동구 성수1가2동,37.5399004,127.0463525,electric,293
0,성동구 성수2가1동,37.5407929,127.0546096,electric,145
0,성동구 성수2가3동,37.5482051,127.0552403,electric,100
0,성동구 송정동,37.5525301,127.064491,electric,34
0,성동구 용답동,37.5602836,127.0556556,electric,78
0,광진구 화양동,37.5432534,127.07341,electric,37
0,광진구 군자동,37.5530406,127.0736767,electric,62
0,광진구 중곡1동,37.5605114,127.0800527,electric,54
0,광진구 중곡2동,37.5602041,127.0814596,electric,38
0,광진구 중곡3동,37.5687864,127.0801539,electric,37
0,광진구 중곡4동,37.5590531,127.0894118,electric,70
0,광진구 능동,37.5505785,127.0817378,electric,31
0,광진구 광장동,37.5478239,127.1047149,electric,113
0,광진구 자양1동,37.5383734,127.0797104,electric,158
0,광진구 자양2동,37.5311799,127.0839602,electric,75
0,광진구 자양3동,37.5337905,127.0729056,electric,119
0,광진구 자양4동,37.531692,127.074516,electric,46
0,광진구 구의1동,,,electric,67
0,광진구 구의2동,37.5467284,127.0857543,electric,72
0,광진구 구의3동,37.5467284,127.0857543,electric,90
0,동대문구 용신동,37.5760042,127.0329381,electric,149
0,동대문구 제기동,37.5837593,127.0372351,electric,54
0,동대문구 전농1동,37.5789235,127.0502677,electric,96
0,동대문구 전농2동,37.578437,127.0575812,electric,60
0,동대문구 답십리1동,37.5718469,127.0511771,electric,136
0,동대문구 답십리2동,37.5673695,127.0612392,electric,92
0,동대문구 장안1동,37.5669531,127.0695161,electric,135
0,동대문구 장안2동,37.578224,127.0706069,electric,118
0,동대문구 청량리동,37.5888074,127.0452806,electric,52
0,동대문구 회기동,37.5920886,127.0516746,electric,24
0,동대문구 휘경1동,,,electric,50
0,동대문구 휘경2동,37.5862154,127.0645629,electric,72
0,동대문구 이문1동,37.5978048,127.0654845,electric,39
0,동대문구 이문2동,37.6033189,127.0650367,electric,35
0,중랑구 면목2동,37.5873525,127.079918,electric,106
0,중랑구 면목4동,37.5762111,127.0828246,electric,53
0,중랑구 면목5동,37.585777,127.0760365,electric,60
0,중랑구 면목본동,37.5883525,127.0895771,electric,57
0,중랑구 면목7동,37.5789797,127.0869585,electric,62
0,중랑구 면목3.8동,37.5849794,127.0934866,electric,60
0,중랑구 상봉1동,,,electric,96
0,중랑구 상봉2동,37.5930916,127.0809054,electric,64
0,중랑구 중화1동,37.6026989,127.0815695,electric,61
0,중랑구 중화2동,37.5956718,127.0720429,electric,63
0,중랑구 묵1동,37.6132254,127.0816525,electric,94
0,중랑구 묵2동,37.6059665,127.0783572,electric,47
0,중랑구 망우본동,37.6025377,127.1050101,electric,236
0,중랑구 망우3동,37.5920511,127.0950271,electric,109
0,중랑구 신내1동,37.6111837,127.1025032,electric,179
0,중랑구 신내2동,37.6108929,127.0925667,electric,110
0,성북구 성북동,37.5952093,126.9978087,electric,61
0,성북구 삼선동,37.5867232,127.0117083,electric,97
0,성북구 동선동,37.5937751,127.0179706,electric,24
0,성북구 돈암1동,37.6032165,127.0261753,electric,42
0,성북구 돈암2동,37.5977421,127.0124752,electric,91
0,성북구 안암동,37.586288,127.0261105,electric,29
0,성북구 보문동,37.5823948,127.0192971,electric,79
0,성북구 정릉1동,37.603073,127.013482,electric,137
0,성북구 정릉2동,37.6065861,127.0130205,electric,71
0,성북구 정릉3동,37.6089333,127.0041887,electric,32
0,성북구 정릉4동,37.6056991,127.0175664,electric,91
0,성북구 길음1동,37.6077624,127.0199553,electric,133
0,성북구 길음2동,37.6082954,127.0270747,electric,95
0,성북구 종암동,37.5971752,127.0338975,electric,116
0,성북구 월곡1동,37.6105027,127.0357126,electric,39
0,성북구 월곡2동,37.6057257,127.0478505,electric,74
0,성북구 장위1동,37.6116363,127.0434302,electric,87
0,성북구 장위2동,37.6114474,127.0577383,electric,33
0,성북구 장위3동,37.6177719,127.0538521,electric,65
0,성북구 석관동,37.6082694,127.0614872,electric,86
0,강북구 삼양동,37.6243311,127.0167583,electric,66
0,강북구 미아동,37.6281999,127.0262498,electric,55
0,강북구 송중동,37.6178374,127.0326782,electric,69
0,강북구 송천동,37.6183281,127.0246048,electric,40
0,강북구 삼각산동,37.6174656,127.0174811,electric,107
0,강북구 번1동,37.6373011,127.0308775,electric,64
