,연면적,지상층수,경도,위도
0,96516.0,32.0,126.87675736980242,37.532186658682996
0,10865.0,33.0,127.0914269749552,37.513512205771185
0,31446.0,23.0,127.01447118414322,37.57445417999269
0,16078.0,23.0,127.01384846236047,37.57407875693677
0,8808.0,30.0,127.09129353881404,37.512256923098725
0,9039.0,23.0,126.95960171109645,37.57451492193368
0,13811.0,22.0,126.95910136939807,37.5751727634035
0,13682.0,22.0,126.95871983607077,37.57568761870109
0,23541.0,22.0,127.07902037565405,37.66705275355183
0,132407.0,25.0,126.86414954901547,37.55700784716395
0,72054.0,24.0,126.97212511528393,37.569667195263605
0,14713.0,30.0,127.09693987561654,37.509626546682306
0,35010.0,31.0,126.98714467337072,37.56864676478854
0,45510.0,24.0,126.98736193208887,37.573023541588604
0,73677.0,23.0,126.98217504897698,37.56968787440177
0,83827.0,36.0,126.98030072625463,37.56980132902809
0,66648.0,22.0,126.89862870589069,37.57617667387067
0,47086.0,25.0,127.01482480317361,37.59167244850172
0,13090.0,21.0,126.85666928944157,37.50324485928712
0,12446.0,29.0,127.08161826901969,37.512278860063034
0,11835.0,28.0,126.9971472384715,37.502624287392706
0,6316.0,29.0,127.08588677595445,37.513398001938945
0,66430.0,22.0,127.00521829559918,37.55572592903655
0,4380.0,21.0,127.01951249414346,37.559762319261225
0,4424.0,22.0,126.90664057242981,37.57131926343311
0,10097.0,30.0,127.09183074764813,37.51089137989142
0,6918.0,21.0,127.01850184551279,37.5594664503708
0,43450.0,21.0,126.96923942511484,37.56359774890056
0,42415.0,27.0,126.98705359482842,37.567177484172994
0,28995.0,26.0,127.06972878740679,37.53686889153706
0,8737.0,21.0,127.01733273863647,37.558529071302765
0,57938.0,25.0,127.06796794397118,37.532984268760934
0,11332.0,25.0,126.9711205954678,37.518949515752844
0,18408.0,28.0,127.01315541801141,37.50736751319127
0,10597.0,23.0,127.01767391802467,37.558970056354724
0,18305.0,21.0,126.99630555975396,37.56621103093793
0,47509.0,23.0,127.10742977078502,37.514629849691175
0,87682.0,25.0,126.9749954015395,37.561620888098766
0,36069.0,22.0,126.93024874109159,37.48259199300805
0,10160.0,22.0,126.87835503433675,37.506982844913296
0,71618.0,24.0,126.98490389847701,37.56556304134879
0,37527.0,27.0,126.97943700717781,37.56562857751057
0,33022.0,22.0,126.98308369489565,37.559824377910985
0,10795.0,23.0,127.01826643833007,37.558888599607876
0,31340.0,33.0,127.02145546621374,37.57079947012236
0,15838.0,22.0,126.87655862879116,37.516185488903815
0,34195.0,22.0,126.98256323023665,37.5609646557879
0,26904.0,22.0,126.84701324240889,37.49670981284248
0,8270.0,28.0,127.09063033721392,37.51466255768824
0,87227.0,34.0,126.97231663864636,37.52367429570639
0,83077.0,32.0,127.05303549607241,37.489078084652064
0,108863.0,24.0,126.97365014261989,37.557098172592404
0,9693.0,33.0,127.09075101151396,37.51219938487908
0,68636.0,30.0,127.10253939629644,37.51457709177129
0,13492.0,29.0,127.01148927524171,37.50582839321295
0,98985.0,40.0,126.90005793050074,37.5178008584282
0,10733.0,25.0,127.08166612676351,37.515560996194814
0,9698.0,23.0,127.01923273908922,37.55911328539609
0,34543.0,33.0,127.0199276305169,37.57075690741825
0,6789.0,23.0,127.01845198548165,37.558532484620606
0,184457.0,36.0,127.0312836884742,37.60441573205229
0,117146.0,31.0,126.94721637120644,37.54151108361174
0,10776.0,22.0,126.99008769963011,37.4750758799209
0,10869.0,27.0,126.88254632591045,37.50642007977006
0,69296.0,22.0,126.971012395932,37.561555347205896
0,6189.0,21.0,127.0177953767529,37.557771796718846
0,69826.0,23.0,126.92183606773791,37.52266046904886
0,33635.0,33.0,127.02063685488632,37.571031413374
0,31689.0,22.0,126.88664743527781,37.50829619392996
0,76574.0,49.0,126.9233556400266,37.49144337149494
0,25734.0,33.0,127.02124958506332,37.571260798672974
0,13504.0,23.0,126.93108669149731,37.51290563105153
0,19697.0,24.0,126.98420815637601,37.56781718198539
0,69110.0,33.0,126.92631617276848,37.522305770319754
0,59500.0,23.0,126.97301645916595,37.561357981486275
0,100151.0,3.0,127.07595804299581,37.516206548786286
0,7000.0,24.0,126.87830117899787,37.50571256709328
0,26992.0,22.0,127.01654362691137,37.56744730392637
0,17193.0,21.0,126.89221696742369,37.47000527015888
0,20124.0,25.0,127.07185176255634,37.53213687391018
0,10097.0,30.0,127.09156099844984,37.51059461319733
0,67122.0,22.0,127.00622420144092,37.556420604962106
0,9698.0,23.0,127.01924281279904,37.55856458817924
0,33595.0,33.0,127.02206031395689,37.57115595793579
0,25653.0,21.0,127.0494564332163,37.502504669283724
0,52666.0,29.0,127.06832208507211,37.53168989127847
0,9707.0,26.0,126.88557700420037,37.508373731856686
0,36831.0,25.0,126.8855158846431,37.50884813245659
0,10273.0,26.0,126.88611086476617,37.50828303029024
0,110708.0,29.0,126.98653660946563,37.567538656405766
0,9707.0,26.0,126.88609789159655,37.50789663422516
0,8270.0,28.0,127.08864730574429,37.51629654007649
0,42541.0,23.0,126.98077118510284,37.56721281416665
0,12220.0,29.0,127.09357744039504,37.508619243524
0,20997.0,30.0,127.02786544422085,37.49638483088537
0,20408.0,21.0,126.98559920389269,37.5643307821233
0,9531.0,23.0,127.01798961437775,37.558324227179256
0,34543.0,33.0,127.02276250099332,37.57087440820521
0,16140.0,21.0,126.88618868817669,37.50520571664319
0,76017.0,22.0,127.07414756191189,37.53646724546254
0,7977.0,22.0,126.94238046953322,37.50091306820933
0,187693.0,5.0,127.10885835205261,37.492840251438636
0,40001.0,26.0,126.9759530775559,37.56294000120418
0,51379.0,27.0,126.97150595955327,37.56078314588747
0,122586.0,34.0,127.00866092059447,37.56871826322152
0,25333.0,25.0,126.98810139744573,37.56693298546045
0,79442.0,37.0,126.97560071682207,37.554020593782155
0,6766.0,22.0,127.13883541870017,37.554314284843855
0,72718.0,21.0,126.98219455834783,37.561609904166296
0,55694.0,28.0,126.98404358468161,37.56708243317934
0,82856.0,23.0,126.97590817185919,37.555268320765755
0,34332.0,23.0,126.9697378087086,37.56263353201661
0,10319.0,22.0,126.95430908321802,37.538542608752934
0,79290.0,30.0,126.98068172471535,37.55914658998836
0,35541.0,25.0,126.97543460074736,37.55851631011328
0,12932.0,21.0,126.90340595487635,37.53256734276141
0,10442.0,25.0,126.92416535974687,37.54678635580131
0,24025.0,32.0,126.96891863110702,37.5358717717486
0,15687.0,24.0,126.96847541067254,37.519690824120026
0,13319.0,24.0,127.12711650247851,37.49620554063354
0,5456.0,25.0,126.96755702057236,37.53609485445277
0,14129.0,22.0,126.96692696963238,37.536203228622966
0,13912.0,22.0,126.96606336721435,37.53620528124731
0,8600.0,25.0,126.96652163687652,37.53669845205522
0,5047.0,24.0,126.96692547101418,37.53668711793768
0,7770.0,23.0,126.96610684003102,37.536768304437174
0,12037.0,22.0,126.95440724652525,37.5375149668499
0,11995.0,22.0,126.9551835401331,37.537566038183506
0,9198.0,22.0,126.95382643765171,37.53761128155969
0,10158.0,21.0,126.95575113786612,37.53774168205431
0,9156.0,22.0,126.9549930143624,37.53802127326207
0,31143.0,24.0,126.96796626202465,37.537975039546886
0,9198.0,22.0,126.95436602800166,37.53811683780951
0,11516.0,21.0,126.95625239821207,37.53822917293079
0,9033.0,22.0,126.9562232662501,37.5386113018848
0,11521.0,22.0,126.95494521849669,37.53859935075077
0,9033.0,22.0,126.95674155439487,37.53911768734456
0,3999.0,22.0,126.95871999335137,37.53982059375482
0,9117.0,24.0,126.95834097010892,37.54012900944068
0,4916.0,23.0,126.95788205742528,37.5402507399149
0,38259.0,35.0,126.97359486161685,37.55106809897516
0,38393.0,35.0,126.97357281774079,37.55063962858304
0,30482.0,27.0,126.97358077944669,37.551631257943505
0,21308.0,23.0,126.8459992944195,37.4974528995511
0,40883.0,24.0,126.97358030289008,37.553463463518746
0,10811.0,24.0,126.89480910655742,37.516327878781745
0,16369.0,24.0,126.89298526384829,37.52144246669074
0,40921.0,23.0,126.98138301101838,37.56305949019906
0,9327.0,22.0,127.12935667586272,37.490532079130716
0,10518.0,27.0,126.88905732458532,37.50664525026545
0,17191.0,21.0,126.9017635997386,37.57443572015536
0,10502.0,22.0,126.9490317781987,37.53401589658029
0,105491.0,28.0,126.96780336411318,37.52799790259863
0,325587.0,9.0,126.96463410785996,37.52970918603586
0,4626.0,23.0,126.8987156221362,37.52781193679195
0,5481.0,25.0,126.96792671282417,37.53524309134456
0,5456.0,25.0,126.96755498612565,37.535330309355935
0,5456.0,25.0,126.9678548421628,37.5355396432663
0,4940.0,24.0,126.96780398919249,37.53584828390307
0,12768.0,22.0,126.95447912834551,37.525465459789565
0,12768.0,22.0,126.9539427267765,37.52618470215185
0,13158.0,22.0,126.95376553684343,37.52689278806087
0,10422.0,28.0,126.97084437245658,37.533800948813415
0,12607.0,24.0,126.97081171742927,37.53423459161353
0,10228.0,27.0,127.08197968465748,37.513191306608164
0,13912.0,25.0,126.86261651371386,37.49503209456047
0,138156.0,6.0,126.9803520840424,37.52400300382967
0,11514.0,22.0,126.97444735009655,37.52182885156269
0,7233.0,24.0,126.96875397403659,37.522152860822274
0,15926.0,24.0,126.96926691449993,37.51937473913438
0,14063.0,24.0,126.97088367875399,37.51856867838493
0,14064.0,24.0,126.97007320524887,37.51891593386338
0,7228.0,24.0,126.96925383308364,37.52232770290642
0,9153.0,25.0,126.96627948749882,37.52134935953983
0,9153.0,25.0,126.96681365078153,37.521139003994406
0,52741.0,30.0,126.96280978620682,37.52292723199126
0,10142.0,22.0,126.97066867325046,37.522188068910374
0,11660.0,22.0,126.97277797696356,37.522332198607515
0,11807.0,22.0,126.97111509682534,37.52108704447296
0,6208.0,21.0,126.96827209053335,37.52220167088324
0,15080.0,22.0,126.97226668304019,37.52163344635163
0,19015.0,23.0,126.96679294421169,37.52036660385638
0,10472.0,24.0,126.97136260144013,37.52035283820596
0,15208.0,21.0,126.97017068495899,37.52135211204716
0,11029.0,22.0,126.97095500849024,37.52249912107535
0,13747.0,22.0,126.97298755820226,37.52049473916663
0,13292.0,25.0,126.9706254154457,37.51989374306071
0,13305.0,25.0,126.97146973569727,37.519624499074254
0,12329.0,22.0,126.95820180942752,37.52420073820371
0,12135.0,22.0,126.95783047929156,37.52373933943987
0,10481.0,22.0,126.95766928456756,37.524145801750336
0,8976.0,23.0,126.96960640947097,37.522155385044464
0,9342.0,24.0,126.96776536578643,37.52193623887153
0,9205.0,24.0,126.97011689304938,37.522476929238316
0,10409.0,25.0,126.86136774791818,37.49586836738757
0,10306.0,22.0,126.97368603004554,37.52199628726953
0,10250.0,22.0,126.97299949704313,37.52192864926552
0,10250.0,22.0,126.97393929138188,37.5216309867247
0,10484.0,22.0,126.97364433965642,37.52028521485049
0,9376.0,24.0,126.97160349172216,37.522606420851446
0,24638.0,22.0,126.95592675204699,37.52434176359371
0,14217.0,24.0,126.9719899409732,37.52235969657326
