,dong,fuel,num
0,도봉구 쌍문4동 ,hybrid,241
0,도봉구 방학1동 ,hybrid,372
0,도봉구 방학2동 ,hybrid,123
0,도봉구 방학3동 ,hybrid,350
0,노원구 월계1동 ,hybrid,281
0,노원구 월계2동 ,hybrid,308
0,노원구 월계3동 ,hybrid,417
0,노원구 공릉1동 ,hybrid,479
0,노원구 공릉2동 ,hybrid,784
0,노원구 하계1동 ,hybrid,452
0,노원구 하계2동 ,hybrid,350
0,노원구 중계본동 ,hybrid,460
0,노원구 중계1동 ,hybrid,551
0,노원구 중계4동 ,hybrid,272
0,노원구 중계2.3동 ,hybrid,416
0,노원구 상계1동 ,hybrid,540
0,노원구 상계2동 ,hybrid,269
0,노원구 상계3.4동 ,hybrid,255
0,노원구 상계5동 ,hybrid,223
0,노원구 상계6.7동 ,hybrid,444
0,노원구 상계8동 ,hybrid,346
0,노원구 상계9동 ,hybrid,254
0,노원구 상계10동 ,hybrid,264
0,은평구 녹번동 ,hybrid,581
0,은평구 불광1동 ,hybrid,571
0,은평구 불광2동 ,hybrid,257
0,은평구 갈현1동 ,hybrid,154
0,은평구 갈현2동 ,hybrid,304
0,은평구 구산동 ,hybrid,360
0,은평구 대조동 ,hybrid,229
0,은평구 응암1동 ,hybrid,501
0,은평구 응암2동 ,hybrid,559
0,은평구 응암3동 ,hybrid,214
0,은평구 역촌동 ,hybrid,467
0,은평구 신사1동 ,hybrid,341
0,은평구 신사2동 ,hybrid,228
0,은평구 증산동 ,hybrid,257
0,은평구 수색동 ,hybrid,285
0,은평구 진관동 ,hybrid,1069
0,서대문구 천연동 ,hybrid,315
0,서대문구 북아현동 ,hybrid,288
0,서대문구 충현동 ,hybrid,357
0,서대문구 신촌동 ,hybrid,193
0,서대문구 연희동 ,hybrid,514
0,서대문구 홍제1동 ,hybrid,412
0,서대문구 홍제3동 ,hybrid,259
0,서대문구 홍제2동 ,hybrid,231
0,서대문구 홍은1동 ,hybrid,375
0,서대문구 홍은2동 ,hybrid,393
0,서대문구 남가좌1동 ,hybrid,450
0,서대문구 남가좌2동 ,hybrid,549
0,서대문구 북가좌1동 ,hybrid,392
0,서대문구 북가좌2동 ,hybrid,328
0,마포구 아현동 ,hybrid,1
0,마포구 아현동 ,hybrid,755
0,마포구 공덕동 ,hybrid,709
0,마포구 도화동 ,hybrid,512
0,마포구 용강동 ,hybrid,633
0,마포구 대흥동 ,hybrid,230
0,마포구 염리동 ,hybrid,320
0,마포구 신수동 ,hybrid,483
0,마포구 서강동 ,hybrid,558
0,마포구 서교동 ,hybrid,409
0,마포구 합정동 ,hybrid,282
0,마포구 망원1동 ,hybrid,259
0,마포구 망원2동 ,hybrid,258
0,마포구 연남동 ,hybrid,201
0,마포구 성산1동 ,hybrid,300
0,마포구 성산2동 ,hybrid,608
0,마포구 상암동 ,hybrid,629
0,양천구 목1동 ,hybrid,792
0,양천구 목2동 ,hybrid,449
0,양천구 목3동 ,hybrid,339
0,양천구 목4동 ,hybrid,362
0,양천구 목5동 ,hybrid,1082
0,양천구 신월1동 ,hybrid,219
0,양천구 신월2동 ,hybrid,258
0,양천구 신월3동 ,hybrid,128
0,양천구 신월4동 ,hybrid,230
0,양천구 신월5동 ,hybrid,183
0,양천구 신월6동 ,hybrid,354
0,양천구 신월7동 ,hybrid,193
0,양천구 신정1동 ,hybrid,469
0,양천구 신정2동 ,hybrid,418
0,양천구 신정3동 ,hybrid,823
0,양천구 신정4동 ,hybrid,353
0,양천구 신정6동 ,hybrid,650
0,양천구 신정7동 ,hybrid,575
0,기타,hybrid,1
0,강서구 염창동 ,hybrid,1047
0,강서구 등촌1동 ,hybrid,544
0,강서구 등촌2동 ,hybrid,356
0,강서구 등촌3동 ,hybrid,436
0,강서구 화곡1동 ,hybrid,619
0,강서구 화곡2동 ,hybrid,162
0,강서구 화곡3동 ,hybrid,362
0,강서구 화곡4동 ,hybrid,229
0,강서구 화곡본동 ,hybrid,341
0,강서구 화곡6동 ,hybrid,405
0,강서구 화곡8동 ,hybrid,247
0,강서구 가양1동 ,hybrid,2944
0,강서구 가양2동 ,hybrid,210
0,강서구 가양3동 ,hybrid,284
0,강서구 발산1동 ,hybrid,849
0,강서구 우장산동 ,hybrid,883
0,강서구 공항동 ,hybrid,467
0,강서구 방화1동 ,hybrid,804
0,강서구 방화2동 ,hybrid,318
0,강서구 방화3동 ,hybrid,341
0,구로구 신도림동 ,hybrid,818
0,구로구 구로1동 ,hybrid,845
0,구로구 구로2동 ,hybrid,378
0,구로구 구로3동 ,hybrid,370
0,구로구 구로4동 ,hybrid,206
0,구로구 구로5동 ,hybrid,574
0,구로구 가리봉동 ,hybrid,81
0,구로구 고척1동 ,hybrid,456
0,구로구 고척2동 ,hybrid,367
0,구로구 개봉1동 ,hybrid,484
0,구로구 개봉2동 ,hybrid,492
0,구로구 개봉3동 ,hybrid,202
0,구로구 오류1동 ,hybrid,310
0,구로구 오류2동 ,hybrid,583
0,구로구 수궁동 ,hybrid,308
0,구로구 항동 ,hybrid,274
0,금천구 가산동 ,hybrid,1080
0,금천구 독산1동 ,hybrid,967
0,금천구 독산2동 ,hybrid,174
0,금천구 독산3동 ,hybrid,289
0,금천구 독산4동 ,hybrid,135
0,금천구 시흥1동 ,hybrid,490
0,금천구 시흥2동 ,hybrid,374
0,금천구 시흥3동 ,hybrid,154
0,금천구 시흥4동 ,hybrid,248
0,금천구 시흥5동 ,hybrid,201
0,영등포구 영등포본동 ,hybrid,302
